id,zip,lat,log,flag,city,city_slug,state_id,state,state_slug
15294,36870,32.484,-85.1202,NULL,Phenix City,phenix-city,AL,Alabama,alabama
15295,36871,32.181,-85.1523,NULL,Pittsview,pittsview,AL,Alabama,alabama
15296,36872,32.809,-85.173,NULL,Valley,valley,AL,Alabama,alabama
15297,36874,32.5656,-85.2057,NULL,Salem,salem,AL,Alabama,alabama
15298,36875,32.3332,-85.1728,NULL,Seale,seale,AL,Alabama,alabama
15299,36877,32.5587,-85.0988,NULL,Smiths Station,smiths-station,AL,Alabama,alabama
15300,36879,32.7284,-85.5588,NULL,Waverly,waverly,AL,Alabama,alabama
15301,36901,32.4255,-88.1474,NULL,Bellamy,bellamy,AL,Alabama,alabama
15302,36904,32.102,-88.2586,NULL,Butler,butler,AL,Alabama,alabama
15303,36907,32.4365,-88.3433,NULL,Cuba,cuba,AL,Alabama,alabama
15304,36908,31.9012,-88.3102,NULL,Gilbertown,gilbertown,AL,Alabama,alabama
15305,36910,32.2046,-88.1469,NULL,Jachin,jachin,AL,Alabama,alabama
15306,36912,32.2351,-88.3045,NULL,Lisman,lisman,AL,Alabama,alabama
15307,36913,31.961,-88.4471,NULL,Melvin,melvin,AL,Alabama,alabama
15308,36915,31.9551,-88.3587,NULL,Needham,needham,AL,Alabama,alabama
15309,36916,32.2099,-88.0565,NULL,Pennington,pennington,AL,Alabama,alabama
15310,36919,31.7663,-88.293,NULL,Silas,silas,AL,Alabama,alabama
15311,36921,31.9681,-88.1916,NULL,Toxey,toxey,AL,Alabama,alabama
15312,36922,32.3038,-88.1472,NULL,Ward,ward,AL,Alabama,alabama
15313,36925,32.4326,-88.1782,NULL,York,york,AL,Alabama,alabama
15314,37010,36.5676,-87.1088,NULL,Adams,adams,TN,Tennessee,tennessee
15315,37011,36.0524,-86.6603,NULL,Antioch,antioch,TN,Tennessee,tennessee
15316,37012,36.0739,-86.0015,NULL,Alexandria,alexandria,TN,Tennessee,tennessee
15317,37013,36.0471,-86.6324,NULL,Antioch,antioch,TN,Tennessee,tennessee
